objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1	0	object/building/general/npe_space_station.iff	0	150	0	150	1	0	0	0	content_tools.interior_buildout:npe.npe_public_instance:structure.municipal.cloning_facility	instance_name|4|npe_space_station|isControllerObject|0|1|portalProperty.crc|0|1986195772|strBuildout|4|npe_main_station|$|
-2	-1	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-3	-1	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-4	-1	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-5	-1	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-6	-1	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-7	-1	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-8	-1	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-9	-1	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-10	-1	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-11	-1	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-12	-1	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-13	-1	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-14	-1	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-15	-1	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-16	-1	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-17	-1	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-18	-1	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-19	-1	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-20	-1	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-21	-1	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
-22	-1	object/cell/cell.iff	21	0	0	0	1	0	0	0		$|
-23	-1	object/cell/cell.iff	22	0	0	0	1	0	0	0		$|
-24	-1	object/cell/cell.iff	23	0	0	0	1	0	0	0		$|
-25	-1	object/cell/cell.iff	24	0	0	0	1	0	0	0		$|
-26	-1	object/cell/cell.iff	25	0	0	0	1	0	0	0		$|
-27	-1	object/cell/cell.iff	26	0	0	0	1	0	0	0		$|
-28	-1	object/cell/cell.iff	27	0	0	0	1	0	0	0		$|
-29	-1	object/cell/cell.iff	28	0	0	0	1	0	0	0		$|
-30	-1	object/cell/cell.iff	29	0	0	0	1	0	0	0		$|
-31	-1	object/cell/cell.iff	30	0	0	0	1	0	0	0		$|
-32	-1	object/cell/cell.iff	31	0	0	0	1	0	0	0		$|
