objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1	0	object/building/scorekeeper/heroic_avatar_hardmode.iff	0	250	50	250	1	0	0	0	theme_park.scorekeeper_dungeon.heroic_avatar_hardmode_controller:systems.instance.instance_manager:systems.dungeon_sequencer.sequence_controller:structure.municipal.cloning_facility	instance.data_table|4|datatables/spawning/scorekeeper/heroic_avatar_hardmode.iff|instance_name|4|heroic_avatar_hardmode|portalProperty.crc|0|-1433146206|$|
-2	-1	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-3	-1	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-4	-1	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-5	-1	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-6	-1	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-7	-1	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-8	-1	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-9	-1	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-10	-1	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-11	-1	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-12	-1	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-13	-1	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-14	-1	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-15	-1	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-16	-1	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-17	-1	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-18	-1	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
-19	-1	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
-20	-1	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
-21	-1	object/cell/cell.iff	20	0	0	0	1	0	0	0		$|
-22	-1	object/cell/cell.iff	21	0	0	0	1	0	0	0		$|
-23	-1	object/cell/cell.iff	22	0	0	0	1	0	0	0		$|
-24	-1	object/cell/cell.iff	23	0	0	0	1	0	0	0		$|
-25	-1	object/cell/cell.iff	24	0	0	0	1	0	0	0		$|
-26	-1	object/cell/cell.iff	25	0	0	0	1	0	0	0		$|
-27	-1	object/cell/cell.iff	26	0	0	0	1	0	0	0		$|
-28	-1	object/cell/cell.iff	27	0	0	0	1	0	0	0		$|
-29	-1	object/cell/cell.iff	28	0	0	0	1	0	0	0		$|
-30	-1	object/cell/cell.iff	29	0	0	0	1	0	0	0		$|
-31	-1	object/cell/cell.iff	30	0	0	0	1	0	0	0		$|
-32	-1	object/cell/cell.iff	31	0	0	0	1	0	0	0		$|
-33	-1	object/cell/cell.iff	32	0	0	0	1	0	0	0		$|
-34	-1	object/cell/cell.iff	33	0	0	0	1	0	0	0		$|
-35	-1	object/cell/cell.iff	34	0	0	0	1	0	0	0		$|
-36	-1	object/cell/cell.iff	35	0	0	0	1	0	0	0		$|
-37	-1	object/cell/cell.iff	36	0	0	0	1	0	0	0		$|
-38	-1	object/cell/cell.iff	37	0	0	0	1	0	0	0		$|
-39	-1	object/cell/cell.iff	38	0	0	0	1	0	0	0		$|
-40	-1	object/cell/cell.iff	39	0	0	0	1	0	0	0		$|
-41	-1	object/cell/cell.iff	40	0	0	0	1	0	0	0		$|
-42	-1	object/cell/cell.iff	41	0	0	0	1	0	0	0		$|
-43	-1	object/cell/cell.iff	42	0	0	0	1	0	0	0		$|
-44	-1	object/cell/cell.iff	43	0	0	0	1	0	0	0		$|
-45	-1	object/cell/cell.iff	44	0	0	0	1	0	0	0		$|
-46	-1	object/cell/cell.iff	45	0	0	0	1	0	0	0		$|
-47	-1	object/cell/cell.iff	46	0	0	0	1	0	0	0		$|
-48	-1	object/cell/cell.iff	47	0	0	0	1	0	0	0		$|
-49	-1	object/cell/cell.iff	48	0	0	0	1	0	0	0		$|
-50	-1	object/cell/cell.iff	49	0	0	0	1	0	0	0		$|
-51	-1	object/cell/cell.iff	50	0	0	0	1	0	0	0		$|
-52	-1	object/cell/cell.iff	51	0	0	0	1	0	0	0		$|
