item	cash	token31	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series3_gargans_hands_of_seduction		120			
item_ent_bearded_jax_familiar		82			
item_tcg_loot_reward_series4_guise_of_vapaad_02_01		77			
item_tcg_loot_reward_series7_max_rebo_diorama		38			
item_tcg_loot_reward_series7_figrin_dan_diorama		38			
item_alluring_performance_painting		26			
item_feared_painting		42			
item_fighter_painting		42			
item_schematic_corset_dress		32			
item_band_set_entertainer_utility_b_01_01		20			
item_bracelet_l_set_entertainer_utility_b_01_01		20			
item_bracelet_r_set_entertainer_utility_b_01_01		20			
item_necklace_set_entertainer_utility_b_01_01		20			
item_ring_set_entertainer_utility_b_01_01		20			
item_ent_book_xp_bonus_01_01		32			
item_ent_book_bm_xp_bonus_01_01		32			
item_ent_book_gcw_bonus_01_01		32			
